,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,Set
5670,City Hotel,1,351,2016,June,26,23,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-10-21,train
5671,Resort Hotel,0,1,2016,January,4,17,2,0,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,54.0,1,2,Check-Out,2016-01-19,train
5672,City Hotel,0,32,2016,November,47,15,0,2,2,0.0,0,BB,DEU,Complementary,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,75.0,0,1,Check-Out,2016-11-17,train
5673,City Hotel,1,68,2017,August,35,31,0,2,2,0.0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,129.0,0,1,Canceled,2017-06-27,train
5674,City Hotel,0,0,2016,January,5,27,0,2,3,0.0,0,BB,MAR,Direct,Direct,0,0,0,B,B,1,No Deposit,,,0,Transient-Party,120.5,0,0,Check-Out,2016-01-29,train
5675,Resort Hotel,0,59,2016,June,24,8,0,2,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,240.0,,0,Transient-Party,110.0,0,0,Check-Out,2016-06-10,train
5676,Resort Hotel,0,383,2016,October,41,6,0,3,2,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,A,D,0,No Deposit,315.0,,0,Transient-Party,56.0,1,0,Check-Out,2016-10-09,train
5677,City Hotel,1,19,2016,March,10,4,1,2,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,74.64,0,0,Canceled,2016-03-04,train
5678,City Hotel,0,47,2017,April,15,10,1,2,2,0.0,0,SC,AUT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,108.0,0,0,Check-Out,2017-04-13,train
5679,Resort Hotel,0,95,2016,December,53,30,1,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,172.67,1,0,Check-Out,2017-01-02,train
5680,City Hotel,0,1,2016,October,42,13,0,1,1,0.0,0,BB,MEX,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,130.0,0,2,Check-Out,2016-10-14,train
5681,City Hotel,1,61,2016,July,30,23,1,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,105.3,0,0,Canceled,2016-05-23,train
5682,City Hotel,1,0,2017,August,34,21,1,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,12.0,0,0,Canceled,2017-08-21,train
5683,City Hotel,1,204,2017,July,27,4,0,1,2,0.0,0,BB,AUS,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,120.6,0,0,Canceled,2016-12-12,train
5684,City Hotel,0,111,2016,May,19,4,0,4,2,2.0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,11.0,,0,Transient,122.1,0,1,Check-Out,2016-05-08,train
5685,Resort Hotel,0,83,2015,July,29,15,2,7,2,2.0,0,BB,GBR,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,190.33,0,1,Check-Out,2015-07-24,train
5686,City Hotel,1,33,2015,December,50,8,2,5,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,27.0,,0,Transient,40.0,0,0,Canceled,2015-12-07,train
5687,Resort Hotel,0,12,2016,July,31,30,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,221.0,1,1,Check-Out,2016-07-31,train
5688,City Hotel,0,129,2016,June,27,30,0,3,3,0.0,0,BB,DEU,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,,0,Transient-Party,164.87,0,2,Check-Out,2016-07-03,train
5689,Resort Hotel,1,56,2015,August,34,18,0,3,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,213.0,0,1,Canceled,2015-07-31,train
5690,City Hotel,1,267,2016,March,14,31,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-10-21,train
5691,City Hotel,0,34,2016,March,10,3,2,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,8.0,,0,Transient,97.4,0,1,Check-Out,2016-03-08,train
5692,City Hotel,1,102,2016,December,49,2,2,2,3,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,119.0,0,1,Canceled,2016-11-29,train
5693,City Hotel,0,115,2016,March,12,18,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,90.0,0,0,Check-Out,2016-03-20,train
5694,City Hotel,0,94,2016,September,36,3,2,2,2,1.0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,83.0,,0,Transient,102.68,0,0,Check-Out,2016-09-07,train
5695,Resort Hotel,1,299,2015,September,38,13,4,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,D,D,0,No Deposit,115.0,,0,Transient,71.55,0,1,Canceled,2015-05-01,train
5696,Resort Hotel,0,32,2015,August,35,23,2,4,1,1.0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,241.0,,0,Transient,154.71,0,1,Check-Out,2015-08-29,train
5697,City Hotel,0,12,2015,July,29,18,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Check-Out,2015-07-22,train
5698,City Hotel,0,91,2017,April,16,20,2,3,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,135.0,0,0,Check-Out,2017-04-25,train
5699,Resort Hotel,1,69,2016,August,33,11,2,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,209.0,0,0,Canceled,2016-06-16,train
5700,City Hotel,0,82,2017,March,9,3,0,2,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,142.2,0,1,Check-Out,2017-03-05,train
5701,City Hotel,0,84,2017,April,14,6,0,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,127.8,0,3,Check-Out,2017-04-09,train
5702,City Hotel,1,109,2016,October,42,11,0,1,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,108.0,0,0,Canceled,2016-10-07,train
5703,City Hotel,0,97,2017,May,18,5,1,2,3,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,171.0,0,0,Check-Out,2017-05-08,train
5704,Resort Hotel,0,5,2015,December,49,1,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,2,No Deposit,240.0,,0,Transient-Party,48.0,0,2,Check-Out,2015-12-02,train
5705,City Hotel,0,4,2016,August,33,8,1,1,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,168.0,1,2,Check-Out,2016-08-10,train
5706,City Hotel,0,64,2017,May,20,16,0,3,2,0.0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,8.0,,0,Transient,135.0,0,0,Check-Out,2017-05-19,train
5707,City Hotel,0,7,2017,July,30,25,0,4,2,0.0,0,SC,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,160.0,0,1,Check-Out,2017-07-29,train
5708,City Hotel,1,270,2016,April,17,20,0,4,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,21.0,,187,Transient-Party,62.8,0,0,Canceled,2016-01-28,train
5709,Resort Hotel,0,16,2017,May,19,13,2,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,241.0,,0,Transient,72.8,0,1,Check-Out,2017-05-16,train
5710,Resort Hotel,1,16,2017,February,9,27,1,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,60.0,0,1,Canceled,2017-02-21,train
5711,Resort Hotel,0,0,2015,October,41,5,1,0,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,,,0,Transient,47.0,1,0,Check-Out,2015-10-06,train
5712,City Hotel,1,258,2015,July,27,2,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,1,1,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.8,0,0,Canceled,2014-10-17,train
5713,Resort Hotel,1,15,2016,March,11,9,0,3,2,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,115.0,,0,Transient-Party,59.0,0,0,Canceled,2016-02-25,train
5714,Resort Hotel,0,21,2016,February,6,4,0,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,242.0,,0,Transient-Party,56.1,0,1,Check-Out,2016-02-07,train
5715,City Hotel,0,0,2016,January,2,6,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,73.9,0,0,Check-Out,2016-01-07,train
5716,City Hotel,0,102,2015,October,42,16,0,2,1,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,6.0,,0,Transient-Party,87.0,0,0,Check-Out,2015-10-18,train
5717,Resort Hotel,0,1,2016,September,38,16,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,F,1,No Deposit,,94.0,0,Transient,58.0,0,0,Check-Out,2016-09-17,train
5718,City Hotel,0,35,2015,October,44,26,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient,76.5,0,1,Check-Out,2015-10-28,train
5719,Resort Hotel,1,162,2016,March,10,4,6,15,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,96.0,,0,Transient,82.0,0,0,Canceled,2015-11-03,train
5720,City Hotel,0,192,2017,July,29,18,0,3,3,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,3,No Deposit,9.0,,0,Transient,165.6,1,1,Check-Out,2017-07-21,train
5721,City Hotel,0,2,2016,June,24,8,0,1,1,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,84.85,0,1,Check-Out,2016-06-09,train
5722,Resort Hotel,0,0,2017,January,5,30,1,0,2,0.0,0,BB,PRT,Direct,TA/TO,1,0,0,A,A,0,No Deposit,,,0,Transient,45.0,0,1,Check-Out,2017-01-31,train
5723,Resort Hotel,0,90,2015,August,33,11,0,5,2,1.0,0,HB,ESP,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,241.0,,0,Transient,179.63,1,2,Check-Out,2015-08-16,train
5724,City Hotel,1,34,2015,December,50,8,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,19.0,,0,Transient,90.0,0,0,Canceled,2015-11-17,train
5725,City Hotel,0,263,2015,September,39,21,1,0,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,21.0,,0,Transient-Party,67.0,0,0,Check-Out,2015-09-22,train
5726,Resort Hotel,0,35,2017,January,1,7,2,1,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,26.0,,0,Transient,38.0,0,0,Check-Out,2017-01-10,train
5727,City Hotel,1,2,2016,April,18,24,1,0,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,89.0,0,0,Canceled,2016-04-22,train
5728,City Hotel,1,109,2016,February,9,21,2,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,19.0,,44,Transient,75.0,0,0,Canceled,2015-12-18,train
5729,Resort Hotel,0,59,2015,August,34,17,2,5,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,177.57,0,0,Check-Out,2015-08-24,train
5730,City Hotel,0,1,2017,August,35,27,1,0,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,109.0,0,2,Check-Out,2017-08-28,train
5731,City Hotel,0,5,2017,February,7,13,1,3,1,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,95.5,0,0,Check-Out,2017-02-17,train
5732,City Hotel,1,105,2016,April,15,6,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,12.0,,0,Transient,75.0,0,0,Canceled,2016-01-18,train
5733,City Hotel,1,50,2016,April,14,2,0,1,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,80.1,0,0,Canceled,2016-02-21,train
5734,Resort Hotel,0,107,2017,March,10,9,0,2,1,0.0,0,Undefined,PRT,Groups,TA/TO,0,0,0,E,E,1,No Deposit,96.0,,0,Transient-Party,72.0,0,0,Check-Out,2017-03-11,train
5735,City Hotel,1,111,2017,April,17,27,1,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,31.0,,0,Transient,120.0,0,0,Canceled,2017-01-06,train
5736,City Hotel,1,468,2017,July,30,29,2,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229.0,,0,Transient-Party,112.67,0,0,Canceled,2017-07-20,train
5737,City Hotel,1,68,2016,February,8,17,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,37.0,,0,Transient,75.0,0,0,Canceled,2016-01-06,train
5738,City Hotel,1,7,2016,April,17,20,0,3,2,2.0,0,BB,DEU,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,201.0,0,1,Canceled,2016-04-15,train
5739,Resort Hotel,0,0,2017,January,2,11,0,2,1,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,E,2,No Deposit,,,0,Transient,86.0,1,0,Check-Out,2017-01-13,train
5740,City Hotel,1,393,2017,April,16,22,2,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,229.0,,0,Transient,90.0,0,0,Canceled,2016-04-17,train
5741,Resort Hotel,0,67,2015,August,35,28,2,4,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,109.83,0,0,Check-Out,2015-09-03,train
5742,City Hotel,1,181,2017,May,21,25,0,2,2,0.0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,,,0,Transient,130.0,0,0,Canceled,2016-11-25,train
5743,City Hotel,1,116,2015,September,38,18,1,2,1,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,15.0,,0,Transient,76.92,0,1,Canceled,2015-06-10,train
5744,Resort Hotel,1,378,2016,November,45,1,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,248.0,,0,Transient,46.0,0,0,Canceled,2016-10-18,train
5745,City Hotel,1,169,2017,July,29,17,1,3,2,1.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,125.1,0,0,Canceled,2017-03-19,train
5746,City Hotel,1,8,2015,November,46,11,0,2,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,10.0,,0,Transient,76.5,0,0,Canceled,2015-11-11,train
5747,City Hotel,1,144,2016,September,38,12,1,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.9,0,3,Canceled,2016-08-24,train
5748,City Hotel,0,168,2017,May,19,12,1,2,1,0.0,0,BB,CHE,Direct,Direct,0,0,0,A,A,1,No Deposit,14.0,,0,Transient-Party,120.0,0,0,Check-Out,2017-05-15,train
5749,City Hotel,0,32,2017,February,7,17,1,2,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,75.0,0,0,Check-Out,2017-02-20,train
5750,City Hotel,0,194,2017,August,34,20,2,1,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,168.0,,0,Transient,80.1,0,1,Check-Out,2017-08-23,train
5751,City Hotel,0,57,2016,February,7,11,0,3,2,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,80.3,0,0,Check-Out,2016-02-14,train
5752,City Hotel,1,235,2015,September,38,18,2,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,9.0,,0,Transient-Party,89.25,0,2,Canceled,2015-06-09,train
5753,City Hotel,0,18,2017,May,19,9,0,2,1,0.0,0,BB,DNK,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,135.0,0,0,Check-Out,2017-05-11,train
5754,City Hotel,0,121,2016,June,25,16,0,3,2,0.0,0,SC,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,138.0,,0,Transient,85.0,0,0,Check-Out,2016-06-19,train
5755,City Hotel,0,19,2015,July,30,25,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,D,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Check-Out,2015-07-29,train
5756,Resort Hotel,0,285,2016,September,39,20,2,5,2,0.0,0,BB,IRL,Groups,TA/TO,0,0,0,D,D,0,No Deposit,96.0,,0,Transient-Party,78.0,0,2,Check-Out,2016-09-27,train
5757,City Hotel,1,158,2016,May,22,24,0,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,37.0,,31,Transient,130.0,0,0,Canceled,2016-01-18,train
5758,City Hotel,1,15,2016,August,34,16,0,2,2,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,231.0,0,0,Canceled,2016-08-03,train
5759,City Hotel,0,15,2016,February,10,29,1,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,85.55,0,1,Check-Out,2016-03-04,train
5760,Resort Hotel,0,2,2016,November,48,24,0,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,,484.0,0,Transient,48.4,0,1,Check-Out,2016-11-25,train
5761,Resort Hotel,0,3,2017,May,19,8,0,0,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,,437.0,0,Transient-Party,0.0,0,0,Check-Out,2017-05-08,train
5762,City Hotel,0,111,2017,August,34,24,0,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,125.0,0,1,Check-Out,2017-08-26,train
5763,Resort Hotel,1,106,2016,March,13,24,1,3,2,0.0,0,FB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,68.0,,0,Transient,84.0,0,0,Canceled,2016-01-22,train
5764,City Hotel,1,262,2017,May,21,24,0,4,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,138.6,0,2,Canceled,2016-09-22,train
5765,City Hotel,0,39,2015,August,33,10,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,D,0,No Deposit,1.0,,0,Transient-Party,62.0,0,1,Check-Out,2015-08-12,train
5766,City Hotel,1,493,2017,August,31,1,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,229.0,,0,Transient,90.0,0,0,Canceled,2017-06-30,train
5767,City Hotel,1,1,2015,September,39,20,2,3,2,0.0,1,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Group,111.65,0,2,No-Show,2015-09-20,train
5768,Resort Hotel,1,74,2016,February,9,26,1,2,2,0.0,0,Undefined,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,68.0,,0,Transient,70.0,0,0,Canceled,2016-01-21,train
5769,City Hotel,0,144,2017,May,18,6,2,1,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,52.0,,0,Transient-Party,90.0,0,1,Check-Out,2017-05-09,train
5770,City Hotel,0,122,2016,May,23,30,1,5,2,1.0,0,BB,BRA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,187.85,0,3,Check-Out,2016-06-05,train
5771,City Hotel,0,276,2017,July,27,4,0,4,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,107.1,0,0,Check-Out,2017-07-08,train
5772,City Hotel,0,7,2017,March,9,1,0,4,2,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,91.8,0,1,Check-Out,2017-03-05,train
5773,Resort Hotel,1,226,2016,September,36,1,2,5,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,250.0,,0,Transient,157.0,0,0,Canceled,2016-08-22,train
5774,City Hotel,1,198,2016,September,37,9,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,0,Transient,90.0,0,0,Canceled,2016-07-12,train
5775,City Hotel,0,30,2017,February,8,24,2,2,3,0.0,0,BB,IRN,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,125.8,0,1,Check-Out,2017-02-28,train
5776,City Hotel,0,48,2017,February,8,22,0,2,1,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,65.0,0,1,Check-Out,2017-02-24,train
5777,City Hotel,0,5,2017,July,27,3,1,0,1,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,128.0,0,0,Check-Out,2017-07-04,train
5778,City Hotel,0,265,2016,June,26,24,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,6.0,,0,Transient-Party,115.0,0,1,Check-Out,2016-06-26,train
5779,Resort Hotel,0,91,2016,July,29,13,2,8,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,181.0,0,2,Check-Out,2016-07-23,train
5780,Resort Hotel,0,29,2015,July,30,25,2,5,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,D,D,0,No Deposit,250.0,,0,Transient,135.0,0,0,Check-Out,2015-08-01,train
5781,Resort Hotel,0,62,2016,December,53,30,1,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,156.0,0,1,Check-Out,2017-01-02,train
5782,Resort Hotel,0,5,2016,December,50,8,0,3,1,0.0,0,Undefined,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,38.0,,0,Transient-Party,56.0,0,0,Check-Out,2016-12-11,train
5783,City Hotel,1,40,2017,May,22,30,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,130.0,0,0,Canceled,2017-05-05,train
5784,Resort Hotel,1,34,2017,February,7,18,2,1,2,0.0,0,BB,CHE,Direct,Direct,0,0,0,D,D,0,No Deposit,250.0,,0,Transient,48.6,0,1,No-Show,2017-02-18,train
5785,Resort Hotel,1,295,2017,June,24,15,4,10,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243.0,,0,Contract,56.7,0,0,Canceled,2017-03-01,train
5786,City Hotel,1,279,2016,October,42,12,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,98.0,,0,Transient,110.0,0,0,Canceled,2016-05-05,train
5787,City Hotel,0,46,2016,May,20,12,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,140.4,0,1,Check-Out,2016-05-19,train
5788,Resort Hotel,0,1,2016,February,6,2,0,5,1,0.0,0,BB,IRL,Offline TA/TO,TA/TO,1,0,1,A,A,0,No Deposit,6.0,,0,Transient,25.0,0,0,Check-Out,2016-02-07,train
5789,City Hotel,0,2,2016,March,11,9,0,4,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,105.0,0,1,Check-Out,2016-03-13,train
5790,City Hotel,0,0,2016,January,2,5,0,3,1,0.0,0,BB,PRT,Complementary,Corporate,1,0,12,D,D,0,No Deposit,,45.0,0,Transient,0.0,1,2,Check-Out,2016-01-08,train
5791,City Hotel,0,39,2016,November,47,19,2,1,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient,72.0,0,0,Check-Out,2016-11-22,train
5792,City Hotel,0,197,2016,August,35,25,0,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient,112.0,0,0,Check-Out,2016-08-28,train
5793,Resort Hotel,0,60,2016,March,10,5,0,1,2,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,251.0,,0,Transient,37.0,0,0,Check-Out,2016-03-06,train
5794,City Hotel,0,1,2016,February,7,13,0,1,1,0.0,0,BB,ITA,Corporate,Corporate,0,0,0,A,A,0,No Deposit,144.0,,0,Transient-Party,79.0,0,0,Check-Out,2016-02-14,train
5795,City Hotel,1,14,2015,December,53,27,2,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,107.0,0,0,Canceled,2015-12-13,train
5796,City Hotel,0,106,2017,March,10,9,0,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,97.2,0,1,Check-Out,2017-03-12,train
5797,City Hotel,1,34,2017,June,25,18,3,5,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,8.0,,0,Transient,161.5,0,1,No-Show,2017-06-18,train
5798,City Hotel,1,262,2017,May,21,24,0,4,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,138.6,0,2,Canceled,2016-09-22,train
5799,Resort Hotel,0,93,2015,September,38,16,0,3,2,0.0,0,BB,THA,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,240.0,,0,Transient,99.0,0,1,Check-Out,2015-09-19,train
5800,City Hotel,0,114,2016,October,42,13,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,C,A,1,No Deposit,234.0,,0,Transient-Party,130.0,0,0,Check-Out,2016-10-15,train
